,P_MPa,H2O,CO2,H2Om,OHm
2749,231.28125,3.752787685370915,405.18000000010375,1.9374009451441212,1.8156429533080511
2750,231.21875,3.7525296191308732,405.00000000010374,1.9371819474553438,1.8156037533160645
2751,231.15625,3.7522759245047443,404.82000000010373,1.9369666647715198,1.8155652102468975
2752,231.09375,3.751988252332183,404.6400000001037,1.9367225586536403,1.8155215107641038
2753,231.03125,3.751638902328243,404.4600000001037,1.9364261295612957,1.815468452238422
2754,230.96875,3.751290026959085,404.2800000001037,1.9361301136193616,1.8154154552506445
2755,230.9375,3.7509926001215823,404.1000000001037,1.93587775612822,1.8153702518680699
2756,230.875,3.7507389125248864,403.9200000001037,1.9356625128823917,1.8153316764759488
2757,230.8125,3.750481142599043,403.7400000001037,1.9354438119609925,1.8152924761679285
2758,230.75,3.7502199026934218,403.5600000001037,1.9352221731022083,1.8152527435972003
2759,230.6875,3.7499630191270894,403.3800000001037,1.9350042355727266,1.8152136663484113
2760,230.625,3.749646035420483,403.20000000010367,1.9347353224811856,1.8151654604538503
2761,230.5625,3.749298432457269,403.02000000010366,1.934440445526495,1.8151125971057522
2762,230.5,3.748944548372741,402.84000000010366,1.9341402512407921,1.8150587695620926
2763,230.46875,3.7486729291332432,402.66000000010365,1.9339098432681978,1.8150174261533436
2764,230.40625,3.748413420593524,402.48000000010364,1.9336897134832365,1.8149779160945423
2765,230.34375,3.74815506389369,402.30000000010364,1.9334705664134104,1.814938575254323
2766,230.28125,3.7478926314527548,402.12000000010363,1.9332479683730661,1.8148986093830402
2767,230.21875,3.7476346445886977,401.9400000001036,1.9330291465346774,1.8148593132036908
2768,230.15625,3.7473033965299227,401.7600000001036,1.9327481997149152,1.8148088758671337
2769,230.09375,3.746951361634896,401.5800000001036,1.9324496342833448,1.8147552689196702
2770,230.03125,3.7466043636607846,401.4000000001036,1.9321553508511113,1.8147024172558244
2771,230.0,3.746337951642484,401.2200000001036,1.931929413192055,1.8146618112437176
2772,229.9375,3.746074725447461,401.0400000001036,1.9317061831015485,1.814621683717789
2773,229.875,3.74581277614393,400.8600000001036,1.9314840417043038,1.8145817444923156
2774,229.8125,3.7455509008164802,400.6800000001036,1.9312619689416244,1.8145418106292481
2775,229.75,3.7452846609002397,400.50000000010357,1.931036201372378,1.8145012067053088
2776,229.6875,3.744960808411953,400.32000000010356,1.9307615919680918,1.8144518281743367
2777,229.625,3.744610850833148,400.14000000010356,1.9304648586999889,1.8143984666762225
2778,229.5625,3.744266230378578,399.96000000010355,1.9301726608212466,1.8143459072939048
2779,229.53125,3.7439785742754776,399.78000000010354,1.929928766412468,1.8143020126512808
2780,229.46875,3.7437140203399215,399.60000000010353,1.929704464200325,1.8142616295525487
2781,229.40625,3.743450025546133,399.4200000001035,1.9294806420261992,1.8142213256112552
2782,229.34375,3.7431864301393243,399.2400000001035,1.9292571644263241,1.8141810765255788
2783,229.28125,3.7429228347325156,399.0600000001035,1.9290336928171967,1.8141408214651538
2784,229.21875,3.7426197000146857,398.8800000001035,1.9287767110098706,1.814094534650422
2785,229.15625,3.7422717540776937,398.7000000001035,1.92848175343656,1.814041409390456
2786,229.09375,3.7419239069889754,398.5200000001035,1.928186890076196,1.8139882887935688
2787,229.0625,3.7416043524739218,398.3400000001035,1.9279160172841114,1.8139394721221775
2788,229.0,3.7413375728711955,398.1600000001035,1.9276898828464157,1.813898695568775
2789,228.9375,3.7410703897905373,397.9800000001035,1.9274634125893877,1.8138578513459054
2790,228.875,3.7408040943613097,397.80000000010347,1.9272377007862005,1.8138171363963391
2791,228.8125,3.740537798932082,397.62000000010346,1.9270119951037388,1.8137764153422096
2792,228.75,3.7402715035028544,397.44000000010345,1.926786295542785,1.8137356881827331
2793,228.6875,3.739934195959166,397.26000000010345,1.9265004237506096,1.8136841164027615
2794,228.625,3.7395868283659346,397.08000000010344,1.9262060368316631,1.8136309990473904
2795,228.5625,3.739238464630548,396.90000000010343,1.9259108162141714,1.8135777192028701
2796,228.53125,3.738942196171352,396.7200000001034,1.9256597488502696,1.81353238488451
2797,228.46875,3.7386746831802458,396.5400000001034,1.9254330542955398,1.8134914351643967
2798,228.40625,3.7384031037592966,396.3600000001034,1.9252029204250223,1.813449858074881
2799,228.34375,3.7381320921862358,396.1800000001034,1.9249732740530954,1.8134083613890508
2800,228.28125,3.737865524640063,396.0000000001034,1.9247473992585158,1.813367537465741
2801,228.21875,3.7375944389998903,395.8200000001034,1.9245177027253657,1.8133260169018424
2802,228.15625,3.7372512332842076,395.6400000001034,1.924226911926139,1.8132734657370682
2803,228.09375,3.736903436683015,395.4600000001034,1.9239322420198177,1.8132202025087936
2804,228.03125,3.736554530946905,395.28000000010337,1.9236366429633085,1.8131667592430203
2805,228.0,3.7362578800190454,395.10000000010336,1.9233853202968356,1.813121297895454
2806,227.9375,3.7359850774991212,394.92000000010336,1.9231542070700547,1.8130794771210987
2807,227.875,3.7357127354667465,394.74000000010335,1.922923490346426,1.8130377203783252
2808,227.8125,3.7354408054495494,394.56000000010334,1.9226931290359237,1.8129960202815227
2809,227.75,3.735168875432352,394.38000000010334,1.922462774123581,1.8129543138030635
2810,227.6875,3.734896945415155,394.20000000010333,1.922232425610229,1.8129126009421168
2811,227.625,3.734566097227565,394.0200000001033,1.9219521813003861,1.812861861812067
2812,227.5625,3.734219688600099,393.8400000001033,1.9216587676524823,1.8128087305676601
2813,227.5,3.7338667838666573,393.6600000001033,1.9213598627509747,1.8127545940610061
2814,227.46875,3.733543131627146,393.4800000001033,1.921085742047196,1.812704927811444
2815,227.40625,3.733272850484685,393.3000000001033,1.9208568281575156,1.8126634294014214
2816,227.34375,3.732997664058341,393.1200000001033,1.9206237666199149,1.8126211730469108
2817,227.28125,3.7327234518758847,392.9400000001033,1.920391536644247,1.8125790594555609
2818,227.21875,3.7324491647515914,392.7600000001033,1.9201592497228142,1.812536927879821
2819,227.15625,3.732174877627298,392.58000000010327,1.9199269693199712,1.8124947898021369
2820,227.09375,3.7318823046947185,392.40000000010326,1.9196792120907469,1.8124498415501513
2821,227.03125,3.7315363981546437,392.22000000010325,1.9193863040323216,1.8123967070128724
2822,226.96875,3.731185310635555,392.04000000010325,1.9190890197009576,1.81234276744826
2823,226.90625,3.730839291671634,391.86000000010324,1.9187960373357045,1.8122895948286761
2824,226.875,3.730533458864205,391.68000000010323,1.9185370878263555,1.812242578182879
2825,226.8125,3.730257624331252,391.5000000001032,1.9183035429218058,1.8122001572042292
2826,226.75,3.729981953241567,391.3200000001032,1.9180701429834903,1.8121577547301302
2827,226.6875,3.729702205684752,391.1400000001032,1.917833298695776,1.8121147198863634
2828,226.625,3.729427197020965,390.9600000001032,1.9176004728019649,1.8120724058708808
2829,226.5625,3.7291474494641306,390.7800000001032,1.9173636419782898,1.8120293575968667
2830,226.5,3.7288538725350264,390.6000000001032,1.917115111671509,1.8119841785404727
2831,226.4375,3.7285066158056233,390.4200000001032,1.9168211515369287,1.8119307459980438
2832,226.375,3.7281600232921117,390.2400000001032,1.9165277640630676,1.811877405075534
2833,226.3125,3.7278125335045007,390.0600000001032,1.9162336275648784,1.8118239158653147
2834,226.28125,3.7274940011991906,389.88000000010317,1.9159640099809008,1.8117748671466174
2835,226.21875,3.7272174572432206,389.70000000010316,1.915729937411794,1.8117322645388523
2836,226.15625,3.726936087040204,389.52000000010315,1.915491786971457,1.8116889132552856
2837,226.09375,3.726655501370469,389.34000000010315,1.9152543073491175,1.81164567575555
2838,226.03125,3.7263748390170313,389.16000000010314,1.9150167696716873,1.8116024196392002
2839,225.96875,3.7260941766635933,388.98000000010313,1.9147792388384595,1.811559156695682
2840,225.90625,3.7258135143101554,388.8000000001031,1.9145417148503543,1.8115158869240737
2841,225.84375,3.7254813971919205,388.6200000001031,1.9142606572730831,1.8114646926244957
2842,225.78125,3.7251335317971885,388.4400000001031,1.9139662837629563,1.811411064970677
2843,225.71875,3.7247850855873033,388.2600000001031,1.9136714293197983,1.8113573374178473
2844,225.65625,3.724442174662722,388.0800000001031,1.9133812688063336,1.8113044516037338
2845,225.625,3.7241391731451756,387.9000000001031,1.9131248845933306,1.8112577015255145
2846,225.5625,3.7238557953672147,387.7200000001031,1.9128851109215064,1.81121396594612
2847,225.5,3.7235727477997806,387.5400000001031,1.9126456236000426,1.8111702742656528
2848,225.4375,3.723290036793069,387.36000000010307,1.9124064279777968,1.811126627485834
2849,225.375,3.7230073257863574,387.18000000010306,1.9121672393100544,1.81108297376867
2850,225.3125,3.722724614779646,387.00000000010306,1.9119280575977589,1.8110393131132154
2851,225.25,3.7224371919228223,386.82000000010305,1.9116848969817466,1.8109949192214094
2852,225.1875,3.7221115245492595,386.64000000010304,1.9114093926839728,1.8109446220204946
2853,225.125,3.7217647009686816,386.46000000010304,1.9111160023214928,1.8108910533193805
2854,225.0625,3.721417600610548,386.28000000010303,1.9108223883151898,1.8108374314875635
2855,225.0,3.721070138312521,386.100000000103,1.9105284786612187,1.8107837433610388
2856,224.96875,3.7207516312059963,385.920000000103,1.9102590690821872,1.8107345122550367
2857,224.90625,3.720464492223595,385.740000000103,1.9100161979162764,1.8106901129181967
2858,224.84375,3.7201773049825437,385.560000000103,1.9097732931199871,1.8106456989673756
2859,224.78125,3.71989064858667,385.380000000103,1.9095308444466819,1.8106013597906478
2860,224.71875,3.7196039921907964,385.200000000103,1.9092884029345043,1.8105570134701883
2861,224.65625,3.7193173357949227,385.020000000103,1.9090459685844416,1.8105126600050108
2862,224.59375,3.719030679399049,384.840000000103,1.908803541397482,1.8104682993941272
2863,224.53125,3.7187392453965775,384.66000000010297,1.9085570814245254,1.8104231936703796
2864,224.46875,3.718394461453756,384.48000000010296,1.9082655175677585,1.8103698384515248
2865,224.40625,3.7180504883769467,384.30000000010295,1.9079746496898458,1.8103165981932583
2866,224.34375,3.717699877081192,384.12000000010295,1.9076781794366058,1.8102623216825942
2867,224.28125,3.717355205102468,383.94000000010294,1.9073867414738352,1.8102089526040062
2868,224.25,3.7170333244545497,383.76000000010293,1.9071145828367189,1.8101590970252446
2869,224.1875,3.716743336448952,383.5800000001029,1.9068693961064211,1.810114164262832
2870,224.125,3.716453195213222,383.4000000001029,1.9066240871742444,1.8100692004798657
2871,224.0625,3.7161635902829184,383.2200000001029,1.9063792389702714,1.8100243123263622
2872,224.0,3.7158691586037764,383.0400000001029,1.9061303177887523,1.8099786701076144
2873,223.9375,3.7155797145650986,382.8600000001029,1.90588562035727,1.80993379211892
2874,223.875,3.7152901082940275,382.6800000001029,1.9056407931064605,1.8098888817242658
2875,223.8125,3.714995758401459,382.5000000001029,1.9053919635139815,1.8098432297616278
2876,223.75,3.714681865606189,382.3200000001029,1.9051266228751842,1.8097945447015051
2877,223.6875,3.7143368221210213,382.1400000001029,1.9048349616800764,1.8097410275210435
2878,223.625,3.7139862186934494,381.96000000010287,1.904538611685153,1.8096866388610926
2879,223.5625,3.7136410400253856,381.78000000010286,1.904246857196408,1.8096330798247215
2880,223.5,3.7132956678858657,381.60000000010285,1.9039549496054315,1.809579480427631
2881,223.46875,3.7129734115884996,381.42000000010285,1.9036825875855246,1.8095294528082126
2882,223.40625,3.712682997282432,381.24000000010284,1.9034371434253838,1.8094843513853698
2883,223.34375,3.712387595676527,381.06000000010283,1.9031874921319845,1.809438469493346
